pair_id,orth_sim,phon_sim,sem_sim,semantic_imputed,label
B000103,0.272727,0.483654,0.568316,False,unrelated
B000104,0.615385,0.612821,0.805356,False,cognate
B000105,0.833333,1.000000,0.694840,False,cognate
B000106,0.857143,0.977778,0.613080,False,unrelated
B000107,0.071429,0.154231,0.596974,False,unrelated
B000108,0.600000,0.647203,0.652511,False,cognate
B000109,0.800000,1.000000,0.978203,False,cognate
B000110,0.100000,0.342857,0.826600,False,unrelated
B000111,1.000000,1.000000,0.509762,False,false_friend
B000112,0.666667,0.604274,0.686428,False,false_friend
B000113,0.857143,0.983806,0.788053,False,cognate
B000114,0.250000,0.378388,0.589363,False,unrelated
B000115,0.444444,0.736095,0.639967,False,cognate
B000116,0.166667,0.123543,0.540329,False,unrelated
B000117,0.636364,0.650000,0.798898,False,false_friend
B000118,0.800000,0.792821,0.607342,False,cognate
B000119,0.833333,0.777778,0.552474,False,false_friend
B000120,0.615385,0.568269,0.706962,False,cognate
B000121,0.857143,1.000000,0.630331,False,false_friend
B000122,0.111111,0.491667,0.496967,False,unrelated
B000123,0.230769,0.355061,0.609273,False,unrelated
B000124,1.000000,1.000000,0.547729,False,cognate
B000125,0.625000,0.696795,0.769231,False,cognate
B000126,0.181818,0.139423,0.713016,False,unrelated
B000127,0.333333,0.337981,0.767348,False,unrelated
B000128,0.090909,0.253333,0.786677,False,unrelated
B000129,0.875000,0.969231,0.528890,False,cognate
B000130,0.230769,0.377692,0.622977,False,unrelated
B000131,0.428571,0.432479,0.571158,False,unrelated
B000132,0.636364,0.588462,0.706962,False,unrelated
B000133,0.857143,0.917308,0.568844,False,false_friend
B000134,0.636364,0.809231,0.604929,False,cognate
B000135,0.833333,0.777778,0.577961,False,false_friend
B000136,0.833333,1.000000,0.635825,False,cognate
B000137,0.250000,0.241700,0.818165,False,unrelated
B000138,0.833333,0.851282,0.610580,False,false_friend
B000139,0.857143,0.977778,0.590176,False,false_friend
B000140,0.250000,0.358974,0.638322,False,unrelated
B000141,0.350000,0.416711,0.668540,False,unrelated
B000142,0.142857,0.719658,0.650910,False,unrelated
B000143,0.866667,0.976923,0.564332,False,cognate
B000144,0.900000,0.978022,0.835027,False,cognate
B000145,0.833333,0.726923,0.525293,False,cognate
B000146,0.625000,0.542949,0.672224,False,cognate
B000147,0.263158,0.311538,0.839948,False,unrelated
B000148,1.000000,1.000000,0.531001,False,false_friend
B000149,1.000000,1.000000,0.536517,False,false_friend
B000150,0.857143,0.851282,0.648498,False,cognate
B000151,0.083333,0.251417,0.912386,False,unrelated
B000152,0.272727,0.300000,0.780594,False,unrelated
B000153,0.125000,0.197436,0.648958,False,unrelated
B000154,0.142857,0.205983,0.556347,False,unrelated
B000155,1.000000,1.000000,0.547556,False,false_friend
B000156,0.857143,0.965812,0.579620,False,cognate
B000157,0.666667,0.604274,0.821556,False,cognate
B000158,0.222222,0.168343,0.563652,False,unrelated
B000159,0.714286,0.594570,0.799612,False,cognate
B000160,0.750000,1.000000,0.695605,False,cognate
B000161,0.636364,0.655204,0.715708,False,unrelated
B000162,0.888889,0.983333,0.685807,False,cognate
B000163,0.210526,0.365064,0.686135,False,unrelated
B000164,0.250000,0.166555,0.490293,False,unrelated
B000165,0.200000,0.474725,0.654367,False,unrelated
B000166,0.625000,1.000000,0.899718,False,cognate
B000167,1.000000,1.000000,0.546045,False,cognate
B000168,0.166667,0.361538,0.735726,False,unrelated
B000169,0.181818,0.451479,0.536265,False,unrelated
B000170,0.181818,0.361538,0.594058,False,unrelated
B000171,0.923077,0.983806,0.655501,False,cognate
B000172,1.000000,1.000000,0.716249,False,cognate
B000173,0.875000,0.969231,0.489315,False,cognate
